submission_date,new_case,new_death,Admin_Dose_1_Daily,Administered_Dose1_Pop_Pct,Series_Complete_Daily,Series_Complete_Pop_Pct,Booster_Daily,Additional_Doses_Vax_Pct,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips >=500
2020-03-13,8,1,,,,,,,1751255.0,8736829.0,43412466.0,49245.0
2020-03-14,5,0,,,,,,,2201397.0,8286687.0,40287907.0,55082.0
2020-03-15,10,0,,,,,,,2587226.0,7900858.0,32150497.0,27583.0
2020-03-16,1,0,,,,,,,2241067.0,8247017.0,38267682.0,26386.0
2020-03-17,6,0,,,,,,,2463101.0,8024983.0,35707256.0,23735.0
2020-03-18,23,0,,,,,,,2597437.0,7890647.0,36323243.0,22084.0
2020-03-19,42,0,,,,,,,2619157.0,7868927.0,35921314.0,21670.0
2020-03-20,49,0,,,,,,,2519196.0,7968888.0,37881269.0,22853.0
2020-03-21,56,0,,,,,,,2853878.0,7634206.0,33516196.0,22144.0
2020-03-22,78,0,,,,,,,2851646.0,7636438.0,26649007.0,19947.0
2020-03-23,38,1,,,,,,,2554520.0,7933564.0,29651198.0,19495.0
2020-03-24,98,0,,,,,,,2573156.0,7914928.0,30072503.0,19524.0
2020-03-25,121,1,,,,,,,2563424.0,7924660.0,30828181.0,18260.0
2020-03-26,117,1,,,,,,,2593090.0,7894994.0,31386174.0,17264.0
2020-03-27,130,1,,,,,,,2565333.0,7922751.0,32228963.0,18253.0
2020-03-28,173,1,,,,,,,2754079.0,7734005.0,30462936.0,20709.0
2020-03-29,141,1,,,,,,,2935697.0,7552387.0,26860575.0,21564.0
2020-03-30,129,4,,,,,,,2546053.0,7942031.0,30670564.0,20096.0
2020-03-31,194,2,,,,,,,2711797.0,7776287.0,28946695.0,21051.0
2020-04-01,151,3,,,,,,,2682424.0,7805660.0,29881072.0,19475.0
2020-04-02,276,9,,,,,,,2670559.0,7817525.0,30386977.0,21301.0
2020-04-03,238,3,,,,,,,2576147.0,7911937.0,32582020.0,20007.0
2020-04-04,286,11,,,,,,,2831504.0,7656580.0,29399165.0,24251.0
2020-04-05,257,11,,,,,,,2906290.0,7581794.0,26805678.0,23820.0
2020-04-06,252,9,,,,,,,2590792.0,7897292.0,31065308.0,14797.0
2020-04-07,262,4,,,,,,,2666163.0,7821921.0,31694302.0,12067.0
2020-04-08,300,9,,,,,,,2658243.0,7829841.0,31873198.0,12385.0
2020-04-09,248,9,,,,,,,2680429.0,7807655.0,31636826.0,12875.0
2020-04-10,295,10,,,,,,,2540563.0,7947521.0,32557011.0,14300.0
2020-04-11,236,7,,,,,,,2569811.0,7918273.0,33096002.0,13931.0
2020-04-12,305,9,,,,,,,3111310.0,7376774.0,23492475.0,10552.0
2020-04-13,299,18,,,,,,,2744156.0,7743928.0,30067934.0,9642.0
2020-04-14,185,17,,,,,,,2466738.0,8021346.0,35087353.0,15274.0
2020-04-15,171,16,,,,,,,2404822.0,8083262.0,34641008.0,16218.0
2020-04-16,294,23,,,,,,,2525230.0,7962854.0,35006309.0,13526.0
2020-04-17,393,26,,,,,,,2301981.0,8186103.0,36499830.0,16980.0
