state,tot_cases,new_case,tot_death,new_death
ME,"68,984",13,858,0
ME,"48,442",80,729,0
MD,"459,528",185,"9,658",6
VA,"534,116","3,291","6,898",78
VA,"663,538",842,"10,844",21
NH,"157,541",915,"1,683",0
WY,"9,848",322,61,0
MI,"2,289,719","6,709","32,724",86
CA,"3,538,821","3,287","56,027",232
DC,"41,014",196,"1,024",1
VA,"67,375",635,"1,905",24
LA,"494,340","1,500","10,821",13
MN,"125,531","1,092","2,299",7
CT,"387,263",591,"8,483",-1
IL,"147,734",862,"7,224",9
RI,"392,369",280,"3,632",2
ME,"134,167","1,220","1,357",1
CA,"4,148,188","10,450","64,037",61
MN,"552,117","2,287","7,073",6
VI,71,0,6,0
NC,"984,546",711,"13,423",8
NC,"113,264","1,787","1,966",23
VA,"1,023,698","13,765","15,136",81
WY,"96,664",605,"1,080",0
NE,"522,491",0,"4,394",0
NE,"99,193","1,360",779,0
MO,"554,253",549,"8,611",5
ID,"468,973",0,"4,993",0
VT,"28,324",171,284,2
ME,"69,992",55,897,0
MD,"458,878",198,"9,633",8
IL,"160,509","1,427","7,465",13
SC,"539,149",580,"8,849",3
AZ,"2,014,020",0,"29,681",0
WY,0,0,0,0
LA,"684,748","2,476","12,447",44
AZ,"1,316,189","3,231","23,036",15
CT,0,0,0,0
NE,"478,249",205,"4,190",15
KY,"1,336,911",232,"16,169",0
CA,"347,634","11,187","7,164",125
WY,"3,939",28,41,0
CA,"9,437,716","52,405","90,382",163
MT,"77,170",551,865,1
WI,"607,213",562,"6,745",1
ID,"27,660",183,269,0
MO,"231,397","5,346","3,754",54
MO,"296,768","5,220","4,408",60
IL,"905,069","4,699","16,527",120
NJ,"527,784","5,525","19,042",90
DE,"17,731",112,639,2
RI,"387,120",291,"3,621",0
AZ,"1,064,346","2,742","19,487",108
VT,"22,585",20,248,0
MT,"69,346",755,763,21
OR,"376,372","1,015","4,730",75
DE,"41,173",724,895,6
NH,"348,362",409,"2,688",1
VA,"930,679","1,435","14,052",32
KY,"1,013,360","15,727","13,568",58
WI,"1,808,702","1,662","14,991",11
FSM,0,0,0,0
IL,"726,304","6,190","12,985",103
MO,"1,399,719",734,"19,089",1
FSM,0,0,0,0
VA,"909,499","1,617","13,538",52
CT,"50,110",48,"4,437",0
NJ,"184,369",405,"15,830",11
IL,"113,195","1,178","4,923",39
CT,"37,419",716,"3,408",69
MI,"1,265,381","5,323","23,526",28
KY,"12,722",291,587,5
MT,"287,145",0,"3,445",0
NH,"277,355",499,"2,223",14
VA,"1,674,560","1,178","19,823",34
NH,"1,392",50,41,3
MN,"746,768","7,925","8,454",21
IL,"3,033,061","1,841","36,953",43
VA,"671,916",591,"11,068",20
DE,"99,134",388,"1,757",5
WI,"683,041",324,"8,253",5
SC,"504,197","1,142","8,064",27
OR,"265,210","2,046","3,095",9
MN,"1,639,213","8,394","13,471",42
DE,"257,607",50,"2,925",1
VA,"1,875,516","2,892","20,652",22
VA,"66,102",354,"1,853",0
MD,0,0,0,0
MN,"996,224",0,"10,440",0
MO,"123,858","1,852","2,311",20
DE,"85,051",330,"1,596",0
MT,"89,864",288,"1,093",0
MD,"109,319",456,"3,893",7
VT,"21,485",115,242,1
MD,"1,191,962","1,552","15,015",4
KY,"30,301",822,853,10
NC,"195,987","1,561","3,526",26
NV,"13,160",645,507,8
MO,"567,024",720,"8,788",10
WY,"155,349",72,"1,741",0
KY,"1,487,725","2,147","16,755",6
MD,"459,995",101,"9,676",3
CT,"30,621",648,"2,633",77
NC,"2,680,108","2,999","25,145",5
KY,"16,297",104,672,5
KY,"170,059","3,118","2,850",33
CA,"8,545,237","96,528","79,802",181
SC,13,5,0,0
IL,"3,352,983",0,"38,311",0
NH,"92,053",270,"1,271",1
FSM,9,0,0,0
MT,"12,107",200,173,2
VA,"747,641","3,454","11,715",22
DC,"10,020",36,533,2
FSM,38,0,0,0
ID,"471,623","1,166","5,001",7
MD,"425,247","1,584","9,010",19
NC,"2,828,827","3,901","25,510",4
OR,"830,062","1,620","7,884",11
FSM,21,0,0,0
VA,"957,570","4,110","14,548",56
FSM,0,0,0,0
DE,"5,573",299,249,12
MN,"289,303",0,"3,434",0
MI,"318,122","5,839","7,868",37
AZ,"186,984",817,"4,150",13
MN,"573,938","1,913","7,221",30
OR,114,26,3,0
AZ,"762,593","3,744","13,124",4
NJ,"2,190,743","1,104","33,192",6
AZ,"210,006",699,"5,371",27
OR,"378,174",0,"4,750",0
CA,"3,526,335","2,772","55,235",140
RI,"170,327",228,"2,876",1
NJ,"295,012","4,856","16,548",26
MO,"1,006,913","8,143","16,074",4
NE,"497,100",0,"4,334",0
ID,"447,913",373,"4,933",3
OR,"160,994",372,"2,357",4
NV,"298,623",858,"5,097",17
MO,"565,934",367,"8,769",7
CT,"893,264",335,"11,343",0
DE,"92,060",179,"1,695",3
SC,"918,957",262,"14,252",9
MT,"164,669","1,142","2,128",7
NJ,"848,876","4,313","24,045",79
MI,"2,606,431",0,"36,918",0
NE,"200,832",331,"2,078",15
MO,65,28,0,0
OR,"25,761",190,438,5
WY,"115,638",0,"1,526",0
MI,"993,743",891,"20,409",40
NJ,"1,042,472","1,313","26,614",8
OR,"1,181",49,33,4
KY,"68,611",667,"1,433",12
VI,72,0,6,0
DC,"64,108",118,"1,188",1
KY,"473,810",727,"8,042",8
LA,"165,152",706,"5,444",21
DC,"47,986",83,"1,106",0
MO,"1,411,136",607,"19,990",4
NC,"979,673","1,148","13,355",13
CT,"706,140",0,"10,159",0
VI,"15,596",7,110,0
NC,"18,258",736,694,8
MT,"89,056",421,"1,088",2
NH,"291,540",457,"2,326",10
ME,"256,183","1,328","2,336",0
KY,"270,818","3,812","4,798",48
MT,"95,914",124,"1,314",0
VT,"103,116",859,554,4
DC,"48,590",45,"1,122",2
NJ,"2,394,595","2,424","33,702",6
MI,"214,830","1,586","6,909",9
VT,"127,215",126,656,1
VA,"1,664,080",961,"19,586",23
CA,"5,133,238",0,"74,509",0
NC,"3,166,709","2,928","26,702",20
NC,"782,211","5,522","11,268",56
MD,"1,162,099","3,514","14,895",13
WY,"172,473",0,"1,865",0
VI,"21,734",57,120,0
MN,"114,874",0,"2,204",0
MD,"546,552","1,113","10,681",16
MO,"4,284",226,117,10
WY,"1,368",42,20,0
MT,"118,140",129,"1,722",0
MT,0,0,0,0
NH,"76,178",188,"1,178",3
IL,"1,229,898","2,190","23,442",34
CT,"273,101","1,198","7,523",27
NE,"242,438",824,"2,315",0
NJ,"2,161,489",299,"32,826",26
SC,"382,445","3,670","5,872",36
FSM,0,0,0,0
CA,"2,122,806","50,141","24,121",219
MI,"2,770,359",0,"38,038",0
DC,"39,301",121,992,7
MO,"857,719","1,337","12,212",9
VI,69,0,6,0
MN,"128,152","1,561","2,354",20
MD,"362,084","1,500","7,789",35
MD,"1,191,962",0,"15,015",0
NV,"83,005",476,"1,669",6
AZ,"1,093,583","2,744","19,984",25
NE,"225,941",127,"2,275",5
VA,"1,872,624","3,393","20,630",32
LA,"1,456,295",395,"18,079",7
CA,"5,113,467","6,134","74,221",12
NV,"3,211",123,137,7
IL,"138,825",601,"6,911",36
OR,"206,850",76,"2,756",2
MD,"161,769","1,869","4,439",18
CA,"4,766,122","16,921","69,741",234
FSM,9,0,0,0
RI,"14,266",118,718,7
VI,"1,550",0,23,0
WY,"85,499",515,918,0
DC,"135,752",71,"1,327",0
MI,"117,413","1,400","6,260",5
SC,0,0,0,0
ID,"442,611",673,"4,834",0
VA,"586,592",892,"9,683",87
ID,"169,584",434,"1,826",0
ME,0,0,0,0
AZ,"2,245,713",0,"31,047",0
ID,"188,024",125,"2,052",7
SC,"1,016,110","6,073","14,722",2
OR,"400,188",827,"5,381",25
NV,"21,803",857,553,2
VT,"41,734",202,381,2
VI,"3,916",14,30,0
MI,"2,400,990","7,725","35,857",81
VA,"570,982","2,036","7,963",156
MD,"334,519","2,166","7,178",46
RI,"19,769",112,"1,026",3
MT,"89,393",337,"1,092",4
LA,"1,167,962",156,"17,076",11
WI,"1,858,743","1,406","15,217",2
RI,0,0,0,0
IL,"1,590,342","3,601","27,175",62
CA,"10,566","5,923",235,134
RI,"399,742",0,"3,652",0
NC,"261,467","1,757","4,551",33
VT,"132,861",0,694,0
MT,"184,394",0,"2,479",0
WI,"676,207",66,"8,013",0
ME,"88,809",521,"1,009",0
ME,"33,094",677,477,16
NH,"69,612",365,"1,117",1
MD,"33,373",786,"1,781",48
FSM,"10,010",0,30,0
MO,"1,387,860",0,"18,351",0
VT,"42,624",485,384,1
SC,"689,241","4,809","10,303",30
NV,"847,877",190,"11,509",4
KY,"418,599",688,"7,216",24
SC,76,17,1,0
MI,"2,343,162","3,022","33,998",81
NV,"9,285",195,452,23
MT,561,7,18,0
VI,"5,594",162,45,1
MO,"1,618,991","10,107","21,335",81
MD,"2,758",427,68,13
IL,2,0,0,0
AZ,"6,948",232,293,18
NH,"50,152",891,846,19
ME,301,28,5,2
SC,0,0,0,0
MN,"103,826",0,"2,133",0
CA,33,0,0,0
MT,0,0,0,0
ME,"264,366",0,"2,382",0
IL,2,0,0,0
OR,"864,083","1,038","8,257",5
NV,"189,412","2,579","2,548",9
NE,"522,491",785,"4,394",20
NV,"266,343","1,200","3,910",47
DE,"17,248",100,632,1
SC,"597,415",220,"9,821",1
NC,"51,493","1,476","1,304",17
VI,"22,108",33,122,0
NE,"15,122",246,186,-1
MN,"413,107","1,997","5,321",66
AZ,"2,224,964","13,501","30,901",59
LA,"141,720",899,"4,687",50
SC,"1,506,396","1,518","17,925",1
KY,"872,505","7,574","13,029",38
VT,"1,301",8,57,0
DC,"120,327","1,525","1,245",5
MT,459,1,16,0
MT,"87,653",576,"1,069",2
MO,"817,874","2,140","11,485",12
MO,"4,483",199,140,23
SC,"878,622","1,827","13,036",56
AZ,"2,077,346",0,"30,372",0
LA,"21,016",421,884,44
AZ,"2,014,020",0,"29,681",0
MN,"394,635","2,746","4,839",57
WY,586,7,7,0
WI,"678,944",116,"8,185",3
FSM,"10,814",230,31,0
NH,"6,742",23,419,1
RI,"367,099",905,"3,561",0
MI,"2,672,312","19,653","37,428",137
NC,"3,170,305","3,596","26,715",13
VT,868,4,53,0
ME,"1,197",19,57,1
FSM,5,0,0,0
WY,"62,592",49,747,0
CT,"172,743",0,"5,791",0
NJ,"1,010,759",269,"25,961",9
MO,"12,464",207,813,9
WI,"674,003",265,"7,830",16
CA,"6,789,403",0,"76,940",0
LA,0,0,0,0
VI,"21,499",55,120,0
FSM,3,0,0,0
AZ,"858,737",661,"17,268",8
NE,0,0,0,0
DE,"109,070",70,"1,864",0
WY,"157,409",0,"1,820",0
MT,"10,900",204,163,1
ID,"169,150",0,"1,826",0
ID,"48,066",365,507,0
NJ,"732,674","4,370","22,250",147
MN,0,0,0,0
SC,"891,210",957,"13,418",48
SC,"181,805","1,058","3,968",23
ID,"5,148",283,90,0
ID,"237,000","1,657","2,505",20
MO,"606,285",301,"9,196",0
FSM,14,0,0,0
MD,"1,250,032",851,"15,399",9
OR,"371,001","1,186","4,543",74
MO,"1,473,752",0,"20,643",0
AZ,"17,763",501,857,26
VA,"20,256",0,713,0
NE,"109,007","2,559",854,28
MD,"554,456",863,"10,811",17
ME,"223,808",453,"1,858",9
NJ,"185,030",311,"15,846",10
RI,"17,256",72,"1,000",4
DE,"101,780",328,"1,766",0
MN,"21,960","1,387",908,30
NH,"183,056","1,396","1,836",8
ID,"282,798","1,328","3,377",31
NE,"30,235",259,356,0
NH,"10,112",118,471,1
LA,"341,431","3,377","7,833",105
NE,"383,915",0,"3,540",0
MD,"461,325",60,"9,732",2
MD,"461,739",42,"9,754",2
ME,"234,159",191,"2,190",2
RI,"52,508","1,019","1,353",10
SC,"1,654,511","1,740","18,239",3
MO,0,0,0,0
VI,"3,086",3,27,0
WI,"1,722,732","1,311","14,778",6
MT,"75,992",509,854,5
VT,"124,058",247,641,3
VI,"12,605",64,89,0
MN,"1,448,939","1,364","12,769",15
IL,"1,388,586",248,"25,552",21
VT,"29,573",90,294,1
MD,"515,259","1,330","10,271",15
RI,"79,441",811,"1,709",10
CA,"460,550","6,891","8,412",30
NJ,"1,139,367","2,351","27,264",24
MO,"428,681","2,581","6,615",55
VA,"1,922,809","3,219","20,823",11
MD,"1,151,423","4,061","14,852",14
WY,"174,828",0,"1,881",0
DE,"301,343",388,"3,039",0
FSM,0,0,0,0
LA,"727,765","1,064","13,452",17
VT,1,0,0,0
SC,"163,534","1,150","3,616",7
LA,"247,177",0,"6,548",0
DC,"159,055",507,"1,355",0
NE,"35,101",431,399,0
MO,"79,510",615,"1,725",24
AZ,"2,161,045",0,"30,632",0
MD,"467,435",505,"9,842",5
LA,"470,331",467,"10,570",8
MI,"2,672,312",0,"37,428",0
WY,"58,142",73,707,0
NC,"2,496,127","13,783","22,477",83
WY,"176,728",472,"1,894",3
MN,"50,291",801,"1,611",5
SC,"594,760",135,"9,760",0
DC,"49,615",41,"1,145",0
ID,"141,077",0,"1,436",0
WI,"134,948","2,825","1,363",5
NV,"186,833","2,882","2,539",19
MN,"5,136",491,343,24
NH,"62,337",761,987,6
FSM,9,0,0,0
FSM,"7,198",0,21,0
DE,"118,768",528,"1,928",3
ME,"54,173",679,750,0
NV,"243,661","2,866","3,394",55
SC,"836,656","2,203","11,887",110
KY,"274,973","4,155","4,860",62
VT,1,0,0,0
MN,"115,943","1,069","2,227",23
DC,"141,943",0,"1,340",0
MD,"41,546","1,784","2,184",36
FSM,9,0,0,0
AZ,"908,248",980,"18,117",3
IL,"3,024,663","1,979","36,694",80
MN,"1,611,246",0,"13,362",0
MI,"661,457","1,050","16,086",44
MI,"732,898","3,707","16,961",18
DC,0,0,0,0
MI,"58,263","1,470","4,800",85
MO,"544,279",757,"8,424",12
VT,"127,639",56,659,1
NH,"1,447",55,42,1
IL,"3,401,621","3,493","38,483",20
NV,"798,140","1,092","11,200",11
MI,"246,509",886,"7,191",14
ID,"479,375",0,"5,037",0
NE,"19,131",137,274,5
OR,"18,493",362,322,6
SC,"1,516,854","1,242","17,985",1
VI,"2,143",0,24,0
MD,"462,736",55,"9,795",1
CA,"3,586,059","2,229","58,659",118
SC,"596,746",205,"9,808",1
NJ,"358,572","3,740","16,965",23
OR,39,15,1,1
MT,"272,849",0,"3,255",0
IL,"1,695,524",0,"28,620",0
WY,"104,403",414,"1,243",0
DE,"310,527",77,"3,121",0
WY,"72,528",459,835,0
MD,0,0,0,0
AZ,"150,652","1,927","2,974",56
MO,"898,243","2,196","15,334",7
CT,"789,933","1,851","10,914",0
NH,"95,506",129,"1,305",0
ME,"62,680",304,790,-1
WY,0,0,0,0
ID,"302,394",553,"3,806",5
WI,"675,248",98,"7,954",0
VA,"681,890",291,"11,441",5
MD,"1,003,039",405,"14,146",11
MO,8,1,0,0
VA,"1,712,802","2,529","20,270",14
FSM,0,0,0,0
LA,"1,168,329",115,"17,117",13
WI,"309,572","8,223","2,621",67
OR,"382,990","1,148","4,886",13
RI,"136,898",447,"2,646",1
VT,878,2,53,0
ID,"268,660",206,"3,122",0
OR,"894,776",0,"8,561",0
NC,"932,354","2,301","12,942",9
WY,"75,136",380,858,23
NE,"376,695","5,041","3,527",32
RI,"388,859",257,"3,626",0
KY,"770,401","2,039","12,058",16
SC,"30,006","1,146",696,10
DE,"6,599",125,306,4
WY,559,15,7,0
ME,"137,463",388,"1,367",0
NE,"300,348","1,199","3,092",7
WI,"358,113","7,448","3,010",85
KY,"78,279",419,"1,571",13
VT,"104,494",240,572,0
NH,"300,185",186,"2,415",1
VA,"762,948","8,295","11,810",40
MO,"1,645,001",0,"21,451",0
MO,"602,019",516,"9,140",2
KY,"452,655",471,"7,708",4
LA,"1,389,464","1,760","17,633",12
ID,"444,637",0,"4,895",0
CT,"340,105",436,"8,097",0
MT,734,17,21,1
AZ,"882,691",322,"17,653",5
MI,"1,121,357","3,511","22,048",14
MN,"562,420","1,970","7,132",10
VI,"23,187",10,123,0
NV,"344,474",689,"5,760",1
CA,"10,688,199",0,"92,763",0
NE,"451,944",226,"3,870",40
AZ,"2,275,235",0,"31,406",0
NC,"1,087,783","5,479","14,074",32
ME,"218,455",384,"1,804",0
NC,"202,139","1,801","3,657",25
OR,"704,515",363,"7,147",3
SC,"1,648,430","2,244","18,234",3
NH,"4,231",34,214,4
KY,"1,178,988","11,973","14,155",54
KY,"1,580,349",370,"17,004",0
LA,"434,926",637,"9,769",11
LA,"48,515",-119,"3,084",22
NC,"63,727","1,313","1,431",12
MI,"2,581,397",0,"36,675",0
SC,"1,704,031",403,"18,340",0
DC,"11,649",78,581,0
DE,"8,175",191,400,10
WI,"1,526,087","5,447","12,509",56
VT,"118,554",250,617,0
VT,"1,009",10,54,0
VT,"99,644","1,399",531,9
RI,"141,626",226,"2,681",1
ID,"170,289",423,"1,840",0
VI,828,32,9,0
NH,"266,000",860,"2,170",25
DC,"23,319",183,701,4
KY,0,0,0,0
VI,"2,449",9,24,0
ME,"237,217",233,"2,219",11
KY,"1,541,413","1,534","16,946",4
SC,"1,707,209",743,"18,347",2
RI,"114,981",416,"2,285",16
VA,"1,715,479",0,"20,280",0
DC,"166,893",0,"1,382",0
WI,"1,854,666","2,780","15,206",16
DC,"135,223",0,"1,326",0
VA,0,0,0,0
IL,"3,244,842","7,555","38,056",15
NJ,"179,574",445,"15,707",-30
LA,"355,835","2,896","8,022",51
KY,"1,476,936","2,211","16,702",10
AZ,"1,288,234","6,043","22,561",164
NE,0,0,0,0
KY,"1,497,807","2,072","16,812",11
WI,"1,575,712","1,131","13,514",25
IL,"1,884,744",0,"29,842",0
CT,"199,454","2,486","6,230",38
DC,"49,858",31,"1,146",0
VI,"1,589",39,23,0
VA,"113,630",664,"2,471",4
SC,"585,183",591,"9,579",8
VA,"1,434,686","14,803","15,853",18
MO,"1,509,862",0,"20,779",0
ME,"236,259",0,"2,202",0
WY,"62,290",95,747,0
MN,"24,850","1,319","1,050",44
NV,"420,179",800,"7,107",34
NH,"72,398",434,"1,150",2
NE,"208,849",305,"2,175",16
RI,"401,224","1,482","3,661",9
FSM,"10,584",0,31,0
NE,"148,849",756,"1,418",45
RI,"68,052","1,321","1,505",11
VI,"2,589",10,25,0
NC,"1,467,417","1,998","18,440",28
SC,"888,640","1,199","13,319",21
KY,"476,716","1,581","8,061",11
FSM,3,0,0,0
MN,"170,307","5,442","2,645",11
MD,"555,366",910,"10,819",8
SC,"781,277","3,309","11,045",25
SC,"621,322","2,067","9,960",6
WY,"60,722",47,720,0
NC,"1,111,335","4,879","14,207",34
KY,0,0,0,0
VI,"15,098",53,104,1
MD,"968,731","3,440","13,334",54
NV,"455,163",0,"7,713",0
NJ,0,0,0,0
NV,"713,505",218,"10,125",18
CT,"364,298",881,"8,304",-3
VI,"16,391",42,111,0
NJ,"2,417,401","2,401","33,773",9
CA,"5,212,461","7,766","75,164",-3
WY,"174,213",0,"1,877",0
CT,"734,196",0,"10,759",0
IL,"3,065,321","1,586","37,631",20
FSM,0,0,0,0
NC,"3,083,870","4,021","26,338",13
CA,"9,307,414",0,"89,957",0
MD,"1,011,919",421,"14,345",2
MD,"69,341",380,"3,362",18
AZ,"1,997,037",0,"28,883",0
DC,"51,726",137,"1,149",0
WI,"1,664,367","2,590","14,573",46
RI,"403,003",0,"3,667",0
MT,"304,169",0,"3,504",0
IL,"87,937","3,239","3,928",136
VA,"927,999","3,228","13,984",77
NV,"270,907","1,194","4,026",15
DC,"5,170",154,258,7
FSM,"21,673",0,51,0
VA,"1,849,990","3,085","20,498",16
WI,1,0,0,0
NH,"338,298",0,"2,627",0
NH,"1,211",72,34,2
DE,"83,762",252,"1,583",9
WY,"163,340",0,"1,829",0
AZ,"402,884","8,080","7,322",77
CT,"61,697",320,"4,533",1
RI,"341,355",91,"3,512",0
DE,"253,406",224,"2,823",1
NJ,"154,434","1,055","11,133",52
MI,"637,140","2,056","15,278",54
DC,"146,904",384,"1,342",0
CT,"51,519",87,"4,460",2
ME,"70,403",117,899,0
SC,"25,631",908,656,9
AZ,"14,897",331,747,43
LA,"1,210,760",0,"17,373",0
FSM,3,0,0,0
MD,"142,425",684,"4,253",6
DE,"260,098",113,"2,940",0
ME,"284,881",0,"2,551",0
IL,"1,752,502","4,989","29,083",29
LA,"490,904",953,"10,798",9
AZ,"877,682",500,"17,569",14
NJ,"1,020,974",205,"26,370",3
NC,"3,087,796","3,926","26,356",18
CT,"45,235",147,"4,204",3
FSM,0,0,0,0
NJ,"1,623,096","26,452","29,056",3
MI,"757,044","6,114","17,081",36
MT,37,3,0,0
WI,"544,618","4,110","5,529",52
DC,"157,303",0,"1,351",0
IL,"2,773,362",0,"33,446",0
CT,"766,172","1,603","10,874",16
FSM,0,0,0,0
CT,"350,810",135,"8,282",0
NH,"99,329",25,"1,367",0
KY,"357,105","2,826","6,066",35
NH,"5,209",31,308,7
NH,"333,483",232,"2,597",3
CT,"168,960","1,583","5,703",27
SC,59,19,1,1
MN,"1,590,564",0,"13,293",0
FSM,21,0,0,0
ID,0,0,0,0
LA,"484,069",503,"10,760",1
NH,"302,253",72,"2,451",4
MI,"1,003,568",141,"21,063",1
CT,"319,779","1,012","7,940",5
DE,"10,903",43,564,0
MO,"1,433,482",0,"20,417",0
FSM,0,0,0,0
DE,"244,364","1,537","2,684",14
MI,"2,821,489",0,"38,464",0
NV,"323,876",128,"5,586",0
CT,"48,776",0,"4,413",0
NH,"6,139",26,395,1
RI,"14,964",46,808,9
MN,"50,291",0,"1,611",0
NH,"350,353",0,"2,705",0
VT,"112,291",331,596,0
OR,"4,570",96,161,2
DE,"305,109",147,"3,080",0
WI,"654,510",840,"7,438",8
NJ,"789,356","2,389","23,252",14
DE,"17,619",67,637,3
NC,"2,605,598","2,894","24,163",39
WI,"523,652","1,129","5,256",2
MT,"106,253",70,"1,524",1
ID,0,0,0,0
DE,"261,174",185,"2,944",2
VI,42,2,0,0
VA,"145,408",975,"3,144",8
CT,"44,179",87,"4,097",13
VA,"2,034,647","1,613","21,374",0
CT,"889,661",799,"11,343",12
NH,"165,574","1,613","1,739",7
VT,"129,262",72,669,0
MI,"36,236","1,056","2,565",143
WY,"177,165",437,"1,899",5
NE,"201,154",322,"2,082",4
NH,"74,893",325,"1,167",4
NC,"998,353",434,"13,615",1
OR,0,0,0,0
RI,"19,487",69,"1,021",0
RI,"10,256",215,388,18
NC,"1,391,579","5,043","17,188",60
SC,"522,276","1,645","8,491",21
DC,"165,774",0,"1,381",0
CT,"276,691","1,357","7,572",10
OR,"281,513","2,426","3,248",27
NJ,0,0,0,0
MI,"526,372","4,467","11,370",141
MO,"1,220,014","14,242","16,768",151
VT,"125,209",0,647,0
DC,"48,616",26,"1,122",0
KY,"1,571,060","1,306","16,986",3
WY,536,16,7,0
NV,0,0,0,0
OR,"372,137",0,"4,562",0
MD,"553,593","1,069","10,794",11
VT,"113,713","1,093",599,3
MO,"666,656","2,414","9,622",64
VA,"1,643,036","1,598","18,859",48
LA,"549,083","3,702","11,017",9
NV,"72,348",130,"1,426",0
VA,"676,741",155,"11,236",7
MN,"34,616",0,"1,446",0
CT,"109,152","1,872","4,926",45
ME,"31,951",536,453,4
WY,"46,168",278,489,25
DE,"28,571",401,792,1
RI,"29,561",180,"1,183",1
MT,0,0,0,0
OR,"218,689",999,"2,855",6
LA,"937,447","29,019","15,073",19
AZ,"98,115","3,537","1,809",4
CA,"5,477,529","56,367","75,847",109
MT,"200,558","1,103","2,912",1
ID,"195,089",91,"2,154",2
AZ,"1,027,359","3,424","18,997",38
CA,"5,152,143","18,905","74,685",176
MI,"1,004,466",245,"21,088",12
CA,"760,013","2,235","14,260",49
FSM,11,2,0,0
NE,"538,494",0,"4,551",0
VT,907,3,54,0
VI,"2,931",24,26,0
NH,"316,691",0,"2,500",0
MT,"86,102",534,"1,054",5
KY,"72,421",502,"1,491",13
VA,"1,668,891",817,"19,692",19
MD,"78,685",554,"3,508",11
WI,"34,207",776,803,0
DE,"95,442",476,"1,713",0
CA,"8,867,026",0,"82,873",0
CT,"702,426","1,786","10,083",7
MI,"1,002,808",197,"21,040",5
NH,"4,545",53,242,4
LA,"982,465","14,932","15,127",11
DC,0,0,0,0
AZ,"841,703",586,"16,941",23
LA,"767,330",0,"14,749",0
WI,"54,988",924,918,5
DC,"136,886",0,"1,333",0
WY,"3,842",22,37,0
SC,"597,069",71,"9,819",3
VI,"7,275",15,83,0
MD,"209,191","3,792","5,006",30
NJ,"1,017,695",358,"26,273",8
ME,"7,951",250,152,0
LA,"86,411","2,280","3,485",24
FSM,0,0,0,0
NE,"332,257",0,"3,327",0
RI,"381,566",246,"3,605",0
AZ,"2,264,159",0,"31,244",0
SC,"1,688,490",940,"18,310",0
WI,"629,787",0,"7,240",0
KY,"1,321,449",322,"15,772",30
SC,"530,864","1,238","8,689",20
WY,"51,430",62,596,0
IL,"3,352,983",0,"38,311",0
VA,"592,214","1,589","9,961",59
NE,"479,827",142,"4,197",0
MD,"436,028","1,169","9,139",16
DE,"21,534",100,684,3
VI,"5,413",44,41,0
VT,"49,801",379,413,3
VT,"23,339",32,252,0
ME,"76,770",348,929,1
NV,"4,539",141,206,3
NV,"205,884","1,939","2,787",6
MO,"1,425,626",0,"20,360",0
NH,"5,043",24,286,3
IL,"1,667,609","1,832","28,220",23
WY,"39,360",453,321,0
NC,"981,710",969,"13,388",15
WI,"44,068",929,840,2
NC,0,0,0,0
NE,"9,423",363,113,6
NV,"403,867",983,"6,718",8
VA,"217,796","2,117","3,938",0
CT,"721,496",540,"10,438",64
RI,"342,429",169,"3,521",0
KY,0,0,0,0
WI,"650,949",868,"7,422",10
CA,6,0,0,0
MT,"64,340","1,135",713,15
DC,"15,981",138,636,2
VT,876,2,53,0
WI,0,0,0,0
IL,"1,397,089",532,"25,781",10
MN,"526,267",0,"6,953",0
FSM,11,0,0,0
MD,0,0,0,0
MD,"1,253,043","2,199","15,418",16
VT,"11,289",101,183,2
DE,"283,632",262,"2,983",1
NC,"174,961","1,971","3,076",36
VT,"77,375","1,893",465,0
FSM,3,0,0,0
SC,"723,449","6,126","10,560",50
MD,"601,573","1,240","11,371",12
LA,"466,440",494,"10,500",11
NC,"11,113",408,447,14
VT,"1,308",3,57,0
ID,"133,985","1,391","1,324",11
WY,"41,662",174,351,0
CT,"52,879",384,"4,465",0
MD,"587,285","1,142","11,234",12
VA,"91,782",981,"2,218",3
MT,"276,192",0,"3,385",0
OR,"336,598","1,627","3,867",44
IL,"1,538,324","5,980","26,614",42
WY,"157,861",452,"1,820",0
RI,"140,923",201,"2,672",2
DE,"24,017",198,738,7
DC,"53,342",180,"1,155",0
IL,"378,969","4,062","9,775",24
LA,"780,668","1,101","14,924",6
WY,"176,256",0,"1,891",0
MO,"571,285",676,"8,833",4
MI,"27,573","1,458","1,314",142
DE,"114,211",389,"1,893",1
MT,"273,413",42,"3,262",0
CT,"221,544",968,"6,553",17
VT,"22,543",20,248,0
NE,"527,989",483,"4,455",1
MO,"190,743","3,204","3,357",37
NE,"15,993",181,195,4
WY,"63,988",148,766,0
DE,"19,010",83,650,1
DC,"121,871",0,"1,255",0
SC,"729,653","6,204","10,610",50
NH,"330,481",196,"2,572",0
AZ,"504,766","10,089","8,469",42
VA,"2,071,847","1,665","21,692",13
OR,"140,063",708,"1,924",20
CT,"544,468","10,602","9,274",64
CT,"53,365",0,"4,468",0
NH,"293,697","1,510","2,333",7
DE,5,0,0,0
WY,84,11,0,0
CT,"363,417",527,"8,307",0
DC,"165,055",0,"1,376",0
WY,"176,256",0,"1,891",0
NV,"293,754",266,"4,957",0
MN,"484,594",804,"6,551",8
NH,"5,450",0,331,0
DC,"9,709",55,511,5
DC,"65,371",0,"1,194",0
ME,"169,481","1,053","1,603",0
FSM,0,0,0,0
