state,tot_cases,new_case,tot_death,new_death
OR,"37,467",212,599,0
NJ,"1,006,905",967,"25,769",29
RI,"89,462",990,"1,865",15
WI,"610,974",919,"6,852",36
NC,"772,110","10,529","11,148",93
IL,"930,849","5,742","17,154",194
NC,"1,913,453","17,781","20,351",59
WY,"57,518",62,705,0
CA,"30,978",645,"1,147",30
OR,"665,486","3,236","6,265",21
NV,0,0,0,0
MI,"1,229,056","3,115","23,017",13
NE,"487,104","1,348","4,288",4
VA,0,0,0,0
NC,"165,978","1,983","2,890",25
VI,"7,490",0,85,0
VI,"4,043",5,32,0
MD,"900,559","10,498","12,604",59
DE,6,1,0,0
FSM,"7,198",0,21,0
VI,66,0,4,0
MI,"16,823",958,358,70
ME,"106,661",639,"1,197",18
LA,"828,695",0,"14,986",0
CT,"735,210","1,014","10,759",0
MI,"2,371,788",973,"35,188",26
ID,"218,645",758,"2,328",1
IL,2,0,0,0
DE,"291,619",0,"3,021",0
CA,247,49,4,1
MO,"23,615",253,"1,099",11
LA,"116,280",0,"3,949",0
KY,"757,313",517,"11,928",18
VA,"6,500",329,195,41
ME,"68,802",49,854,0
NC,"4,833",299,125,18
VI,54,0,3,1
MN,"28,869",346,"1,267",39
VI,69,0,6,0
MO,"564,480",562,"8,746",9
VI,"3,942",10,32,2
SC,"12,952",266,503,6
FSM,3,0,0,0
ID,0,0,0,0
RI,"149,456",349,"2,743",0
NC,"1,048,997","2,166","13,890",13
WI,"636,041",727,"7,315",23
NV,"292,059",516,"4,919",16
LA,"996,623","14,158","15,137",10
KY,"1,330,929",203,"16,067",7
SC,"73,417","1,456","1,169",8
FSM,3,0,0,0
DE,"272,936",323,"2,969",2
NC,"758,847","4,328","10,970",77
NV,"58,270",525,"1,024",15
KY,"230,202","1,772","3,890",51
NJ,"418,479","5,111","17,542",116
SC,0,0,0,0
MD,"1,008,536",358,"14,293",7
CT,"44,461",114,"4,146",26
MT,"16,677",614,197,4
NV,"74,786",344,"1,541",12
WY,"58,623",96,710,0
MN,"770,246",0,"8,661",0
LA,"1,445,716",945,"17,939",8
NC,"853,644","1,031","12,344",21
AZ,"2,030,925",0,"30,230",0
DC,"129,817",0,"1,284",0
SC,"151,792",804,"3,442",34
CT,"722,377",423,"10,465",22
OR,0,0,0,0
WY,"22,494",613,144,0
DC,"51,103",128,"1,149",0
NV,"847,175",363,"11,494",3
NE,"45,126",545,478,6
MN,"815,008","3,354","8,952",35
NH,"9,349",70,458,2
OR,"241,383","1,460","2,943",4
ME,"239,648",519,"2,276",0
SC,"434,476","4,668","6,500",77
LA,"744,651","1,020","14,068",41
CA,"11,045,449","38,765","94,047",204
MI,"587,161","3,134","13,738",91
MT,"109,455",140,"1,578",1
