race,count,percent
White,258077,62.498062653776856
Unknown/Missing,94896,22.98080089892865
Black,45213,10.949154348373598
Asian,6808,1.6486816358951508
Multiple/Other,4555,1.103076505802352
American Indian/Alaska Native,3256,0.78849991281942
Native Hawaiian/Other Pacific Islander,131,0.031724044403975436
Total,412936,99.99999999999999
