race,count,percent,pop_pct,norm_pct
White,258077,62.498062653776856,59.3,1.0539302302491882
Black,45213,10.949154348373598,12.6,0.8689805038391745
Asian,6808,1.6486816358951508,5.9,0.27943756540595777
Multiple/Other,4555,1.103076505802352,2.3,0.4795984807836313
American Indian/Alaska Native,3256,0.78849991281942,0.7,1.1264284468848857
Native Hawaiian/Other Pacific Islander,131,0.031724044403975436,0.2,0.15862022201987716
