age_group,count,percent,pop_pct,norm_pct
18 to 49 years,226532,54.858864327644,39.2,1.3994608246847957
50 to 64 years,72701,17.605875971094793,19.2,0.9169727068278538
0 - 17 years,60208,14.580467675378268,24.8,0.5879220836846075
65+ years,48668,11.785845748493713,16.8,0.70153843741034
