age_group,count,percent
18 to 49 years,226532,54.858864327644
50 to 64 years,72701,17.605875971094793
0 - 17 years,60208,14.580467675378268
65+ years,48668,11.785845748493713
Missing,4827,1.1689462773892323
Total,412936,100.00000000000001
