case_month,PA,MI,NJ,MO,FL,LA,MA,MD,CO,TX,IA,IL,WA,OH,WI,MN,CT,SC,NY,VA,AL,NC,NM,NV,CA,OK,AZ,NH,OR,TN,AR,KY,IN,GA,ID,KS,UT,ND,MT,WY,ME,DC,VT,AK,NE,HI
2021-11-01,1325.0,630.0,143.0,338.0,37.0,,14.0,294.0,410.0,276.0,,203.0,23.0,617.0,575.0,1435.0,75.0,242.0,1770,235.0,,445.0,109.0,,231.0,187.0,460.0,15.0,202.0,251.0,66.0,161.0,579.0,157,33.0,20.0,,821.0,71.0,523.0,98.0,,,,830.0,11.0
2021-12-01,2700.0,1044.0,2476.0,735.0,731.0,197.0,124.0,210.0,237.0,5212.0,,6318.0,155.0,2598.0,1025.0,731.0,,388.0,3601,946.0,672.0,1189.0,345.0,,939.0,,361.0,475.0,15.0,1578.0,567.0,154.0,710.0,1494,85.0,71.0,43.0,,,,346.0,,12.0,,,66.0
2022-01-01,4141.0,1106.0,2764.0,2212.0,3294.0,3003.0,1811.0,469.0,964.0,5159.0,,2594.0,3169.0,2966.0,1764.0,1478.0,,2925.0,2060,2394.0,2379.0,3635.0,1129.0,136.0,5058.0,,1404.0,2023.0,1806.0,3630.0,842.0,850.0,1757.0,2384,620.0,2383.0,2040.0,286.0,27.0,51.0,887.0,,68.0,81.0,,795.0
2022-02-01,490.0,2017.0,238.0,148.0,2083.0,97.0,18.0,260.0,50.0,11.0,,131.0,1187.0,305.0,241.0,228.0,78.0,200.0,468,448.0,260.0,884.0,211.0,,470.0,,183.0,81.0,469.0,249.0,112.0,127.0,301.0,419,47.0,86.0,117.0,179.0,14.0,,338.0,,,,,42.0
2022-03-01,,549.0,32.0,59.0,677.0,32.0,69.0,37.0,135.0,212.0,,,125.0,87.0,72.0,60.0,115.0,60.0,152,68.0,68.0,57.0,12.0,,164.0,,,,,,,,32.0,11,,,,,,,71.0,,29.0,,402.0,89.0
2022-04-01,689.0,674.0,196.0,,153.0,41.0,96.0,1403.0,66.0,113.0,,191.0,46.0,75.0,394.0,357.0,,40.0,852,181.0,,56.0,29.0,56.0,408.0,,129.0,,29.0,,,,89.0,78,,,,18.0,,,75.0,,63.0,,,
2022-05-01,1357.0,1282.0,978.0,183.0,279.0,384.0,427.0,1767.0,435.0,180.0,,71.0,39.0,1239.0,395.0,324.0,93.0,271.0,870,372.0,182.0,390.0,31.0,,1416.0,,52.0,33.0,,89.0,,63.0,317.0,165,34.0,41.0,,,,,48.0,,,,,65.0
2022-06-01,161.0,269.0,396.0,368.0,988.0,594.0,594.0,561.0,1233.0,3177.0,,500.0,670.0,433.0,587.0,49.0,11.0,262.0,366,31.0,263.0,890.0,164.0,7.0,1112.0,,883.0,,933.0,653.0,12.0,132.0,979.0,671,55.0,246.0,205.0,98.0,16.0,16.0,93.0,,,,,42.0
2022-07-01,343.0,520.0,331.0,196.0,284.0,411.0,,178.0,251.0,5054.0,,556.0,51.0,285.0,839.0,61.0,,347.0,476,487.0,136.0,706.0,,,948.0,,492.0,13.0,52.0,316.0,45.0,53.0,583.0,438,28.0,,11.0,,,,144.0,,,100.0,35.0,96.0
2022-08-01,737.0,755.0,184.0,320.0,1086.0,423.0,99.0,113.0,492.0,558.0,,359.0,443.0,694.0,223.0,217.0,19.0,612.0,356,214.0,,853.0,,,1417.0,,424.0,38.0,45.0,554.0,36.0,,270.0,970,103.0,34.0,80.0,,,,,,,,,94.0
2022-09-01,162.0,409.0,32.0,159.0,125.0,16.0,35.0,108.0,83.0,110.0,,54.0,3.0,303.0,321.0,104.0,128.0,69.0,225,,,471.0,27.0,14.0,99.0,,108.0,,,103.0,222.0,,72.0,122,153.0,24.0,,,12.0,,,,,,,
